step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
132,2.39078,0.0575613,1,-0.221558,-0.176526,0.0648899,-0.268841,-0.162227,0.151491,-0.221558,-0.176526,0.0584009,-0.0100638
133,2.4089,0.056486,1,-0.211009,-0.18413,0.0289894,-0.249508,-0.158134,0.115094,-0.211009,-0.18413,0.0260904,-0.00428191
134,2.42701,0.0548071,1,-0.204229,-0.194535,-0.00398999,-0.233383,-0.158671,0.078927,-0.204229,-0.194535,-0.00359099,0.00057041
135,2.44512,0.0535129,1,-0.200568,-0.207307,-0.0352028,-0.220655,-0.163126,0.0437619,-0.200568,-0.207307,-0.0316825,0.00494239
136,2.46323,0.052022,1,-0.199768,-0.221862,-0.0632279,-0.211363,-0.170929,0.0101903,-0.199768,-0.221862,-0.0569051,0.00884165
137,2.48134,0.0507428,1,-0.20178,-0.238831,-0.0879641,-0.20545,-0.181665,-0.0213082,-0.20178,-0.238831,-0.0791677,0.0124246
138,2.49946,0.0496121,1,-0.207178,-0.258461,-0.108154,-0.202807,-0.195065,-0.05031,-0.207178,-0.258461,-0.0973386,0.015685
139,2.51757,0.049364,1,-0.215397,-0.280872,-0.124149,-0.203309,-0.210981,-0.0764043,-0.215397,-0.280872,-0.111734,0.0187189
140,2.53568,0.0503179,1,-0.22674,-0.306097,-0.135342,-0.206835,-0.229349,-0.0991596,-0.22674,-0.306097,-0.121808,0.0214813
141,2.55379,0.0530362,1,-0.241189,-0.334392,-0.14182,-0.21328,-0.250149,-0.118097,-0.241189,-0.334392,-0.127638,0.0239438
142,2.5719,0.0570222,1,-0.258473,-0.364814,-0.142716,-0.222553,-0.273362,-0.132671,-0.258473,-0.364814,-0.128444,0.0258218
143,2.59002,0.0615462,1,-0.277816,-0.396194,-0.136792,-0.234574,-0.29891,-0.142259,-0.277816,-0.396194,-0.123112,0.026602
144,2.60813,0.0664473,1,-0.299046,-0.427749,-0.123013,-0.249252,-0.326602,-0.146156,-0.299046,-0.427749,-0.110712,0.0257506
145,2.62624,0.0719676,1,-0.321788,-0.459122,-0.100542,-0.266461,-0.356054,-0.143599,-0.321788,-0.459122,-0.0904878,0.0226473
146,2.64435,0.0784259,1,-0.346137,-0.489574,-0.0687208,-0.286006,-0.386616,-0.133803,-0.346137,-0.489574,-0.0618488,0.0166508
147,2.66246,0.0854816,1,-0.37181,-0.516851,-0.0272717,-0.307576,-0.417283,-0.116049,-0.37181,-0.516851,-0.0245445,0.00709792
148,2.68058,0.0918878,1,-0.397662,-0.537659,0.0222614,-0.330696,-0.446638,-0.0898135,-0.397662,-0.537659,0.0200353,-0.00619677
149,2.69869,0.0967026,1,-0.421094,-0.548441,0.078931,-0.354681,-0.472827,-0.054957,-0.421094,-0.548441,0.0710379,-0.0232662
150,2.7168,0.0987532,1,-0.440554,-0.545354,0.138854,-0.378597,-0.493629,-0.0119519,-0.440554,-0.545354,0.124968,-0.0428209
151,2.73491,0.0990495,1,-0.454501,-0.528286,0.19953,-0.401255,-0.506644,0.0378861,-0.454501,-0.528286,0.179577,-0.0634807
152,2.75302,0.0974101,1,-0.462003,-0.497538,0.255516,-0.421257,-0.509641,0.0922391,-0.462003,-0.497538,0.229965,-0.0826345
153,2.77114,0.0920727,1,-0.461641,-0.456013,0.298814,-0.437104,-0.501016,0.147801,-0.461641,-0.456013,0.268933,-0.0965614
154,2.78925,0.0842877,1,-0.453113,-0.407986,0.327257,-0.447379,-0.480279,0.200553,-0.453113,-0.407986,0.294532,-0.103799
155,2.80736,0.0767451,1,-0.436806,-0.356372,0.341176,-0.450962,-0.448394,0.246303,-0.436806,-0.356372,0.307059,-0.104319
156,2.82547,0.0701959,1,-0.41455,-0.305964,0.339219,-0.447253,-0.4078,0.281406,-0.41455,-0.305964,0.305297,-0.0984362
157,2.84358,0.0660529,1,-0.38729,-0.260546,0.322989,-0.436317,-0.362045,0.303413,-0.38729,-0.260546,0.29069,-0.0875634
158,2.8617,0.0647033,1,-0.357182,-0.222881,0.295871,-0.4189,-0.315119,0.311452,-0.357182,-0.222881,0.266284,-0.0739758
159,2.87981,0.0647553,1,-0.326577,-0.194742,0.262105,-0.396319,-0.270713,0.306198,-0.326577,-0.194742,0.235895,-0.0599183
160,2.89792,0.0648559,1,-0.297562,-0.176086,0.224321,-0.370249,-0.23165,0.289498,-0.297562,-0.176086,0.201889,-0.0467246
161,2.91603,0.0644663,1,-0.271024,-0.165303,0.185177,-0.342465,-0.199626,0.263826,-0.271024,-0.165303,0.166659,-0.0351311
162,2.93414,0.0632105,1,-0.24882,-0.160168,0.145574,-0.314627,-0.175257,0.231762,-0.24882,-0.160168,0.131016,-0.0253552
163,2.95226,0.0616484,1,-0.230226,-0.160099,0.105935,-0.288124,-0.158336,0.195636,-0.230226,-0.160099,0.0953418,-0.0170723
164,2.97037,0.0604339,1,-0.214953,-0.16424,0.066292,-0.264,-0.148147,0.157353,-0.214953,-0.16424,0.0596628,-0.00997478
165,2.98848,0.059023,1,-0.203392,-0.171825,0.0283805,-0.242961,-0.143755,0.118367,-0.203392,-0.171825,0.0255425,-0.00404067
166,3.00659,0.0570171,1,-0.195685,-0.182299,-0.00639477,-0.225407,-0.144216,0.0797401,-0.195685,-0.182299,-0.00575529,0.000875953
167,3.0247,0.0553258,1,-0.191272,-0.194577,-0.0394256,-0.211507,-0.148706,0.0422393,-0.191272,-0.194577,-0.0354831,0.00527871
168,3.04282,0.0535546,1,-0.189906,-0.208673,-0.0694731,-0.201265,-0.156576,0.00642974,-0.189906,-0.208673,-0.0625258,0.00923537
169,3.06093,0.0522569,1,-0.191299,-0.225179,-0.0968145,-0.194586,-0.167373,-0.0272448,-0.191299,-0.225179,-0.0871331,0.0129643
170,3.07904,0.0511492,1,-0.196034,-0.244478,-0.119828,-0.191326,-0.180814,-0.0583992,-0.196034,-0.244478,-0.107845,0.0164432
171,3.09715,0.0507138,1,-0.203573,-0.266632,-0.13847,-0.191329,-0.196765,-0.0866594,-0.203573,-0.266632,-0.124623,0.0197321
172,3.11526,0.0514294,1,-0.214224,-0.291652,-0.152836,-0.194455,-0.215194,-0.111626,-0.214224,-0.291652,-0.137553,0.0229188
173,3.13338,0.0538575,1,-0.228254,-0.320201,-0.162338,-0.20059,-0.236136,-0.132848,-0.228254,-0.320201,-0.146104,0.025938
174,3.15149,0.0575078,1,-0.245247,-0.351211,-0.166209,-0.209648,-0.259644,-0.149793,-0.245247,-0.351211,-0.149588,0.0285335
175,3.1696,0.0620105,1,-0.264723,-0.384071,-0.163525,-0.221568,-0.285732,-0.161836,-0.264723,-0.384071,-0.147172,0.0303021
176,3.18771,0.0666807,1,-0.286282,-0.417336,-0.153152,-0.236292,-0.314321,-0.16825,-0.286282,-0.417336,-0.137837,0.0306913
177,3.20582,0.0718198,1,-0.309512,-0.451027,-0.134209,-0.253745,-0.345155,-0.168203,-0.309512,-0.451027,-0.120788,0.0290776
178,3.22394,0.0776636,1,-0.334683,-0.484097,-0.105379,-0.273796,-0.377718,-0.160796,-0.334683,-0.484097,-0.0948406,0.0246879
179,3.24205,0.0845054,1,-0.361411,-0.515922,-0.0664457,-0.296211,-0.41113,-0.145129,-0.361411,-0.515922,-0.0598012,0.0168099
180,3.26016,0.0919536,1,-0.389391,-0.543173,-0.0164502,-0.320598,-0.444055,-0.120419,-0.389391,-0.543173,-0.0148052,0.0044839
181,3.27827,0.0980231,1,-0.416539,-0.56192,0.0414008,-0.346345,-0.474638,-0.086193,-0.416539,-0.56192,0.0372607,-0.0120715
182,3.29638,0.101532,1,-0.440228,-0.567229,0.105434,-0.372567,-0.500512,-0.0425417,-0.440228,-0.567229,0.094891,-0.0324906
